date,count
2017-12-22,78
2017-12-23,84
2017-12-24,55
2017-12-25,37
2017-12-26,69
2017-12-27,68
2017-12-28,40
2017-12-29,60
2017-12-30,61
2017-12-31,91
2018-01-01,40
2018-01-02,33
2018-01-03,41
2018-01-04,32
2018-01-05,50
2018-01-06,51
2018-01-07,57
2018-01-08,41
2018-01-09,29
2018-01-10,20
2018-01-11,25
2018-01-12,63
2018-01-13,67
2018-01-14,36
2018-01-15,58
2018-01-16,37
2018-01-17,23
2018-01-18,22
2018-01-19,47
2018-01-20,49
2018-01-21,17
2018-01-22,19
2018-01-23,22
2018-01-24,22
2018-01-25,16
2018-01-26,35
2018-01-27,23
2018-01-28,21
2018-01-29,14
2018-01-30,8
2018-01-31,17
2018-02-01,12
2018-02-02,14
2018-02-03,30
2018-02-04,30
2018-02-05,24
2018-02-06,12
2018-02-07,22
2018-02-08,16
2018-02-09,10
2018-02-10,18
2018-02-11,24
2018-02-12,25
2018-02-13,11
2018-02-14,17
2018-02-15,7
2018-02-16,14
2018-02-17,15
2018-02-18,33
2018-02-19,12
2018-02-20,10
2018-02-21,18
2018-02-22,11
2018-02-23,28
2018-02-24,8
2018-02-25,26
2018-02-26,12
2018-02-27,10
2018-02-28,14
2018-03-01,11
2018-03-02,12
2018-03-03,18
2018-03-04,10
2018-03-05,7
2018-03-06,6
2018-03-07,9
2018-03-08,6
2018-03-09,4
2018-03-10,15
2018-03-11,5
2018-03-12,24
2018-03-13,11
2018-03-14,4
2018-03-15,7
2018-03-16,13
2018-03-17,9
2018-03-18,17
2018-03-19,19
2018-03-20,9
2018-03-21,6
2018-03-22,6
2018-03-23,21
2018-03-24,23
2018-03-25,16
2018-03-26,12
2018-03-27,29
2018-03-28,10
2018-03-29,3
2018-03-30,7
2018-03-31,30
2018-04-01,7
2018-04-02,18
2018-04-03,9
2018-04-04,15
2018-04-05,4
2018-04-06,10
2018-04-07,21
2018-04-08,22
2018-04-09,16
2018-04-10,2
2018-04-11,11
2018-04-12,7
2018-04-13,13
2018-04-14,6
2018-04-15,25
2018-04-16,27
2018-04-17,18
2018-04-18,6
2018-04-19,11
2018-04-20,12
2018-04-21,26
2018-04-22,4
2018-04-23,6
2018-04-24,23
2018-04-25,11
2018-04-26,8
2018-04-27,10
2018-04-28,26
2018-04-29,42
2018-04-30,20
2018-05-01,9
2018-05-02,8
2018-05-03,9
2018-05-04,7
2018-05-05,27
2018-05-06,33
2018-05-07,21
2018-05-08,7
2018-05-09,17
2018-05-10,14
2018-05-11,17
2018-05-12,13
2018-05-13,22
2018-05-14,18
2018-05-15,11
2018-05-16,7
2018-05-17,8
2018-05-18,12
2018-05-19,28
2018-05-20,18
2018-05-21,11
2018-05-22,25
2018-05-23,13
2018-05-24,14
2018-05-25,12
2018-05-26,39
2018-05-27,13
2018-05-28,22
2018-05-29,13
2018-05-30,27
2018-05-31,15
2018-06-01,29
2018-06-02,20
2018-06-03,24
2018-06-04,21
2018-06-05,6
2018-06-06,42
2018-06-07,24
2018-06-08,23
2018-06-09,34
2018-06-10,30
2018-06-11,11
2018-06-12,14
2018-06-14,8
2018-06-15,31
2018-06-16,28
2018-06-17,16
2018-06-18,12
2018-06-19,19
2018-06-20,25
2018-06-21,10
2018-06-22,28
2018-06-23,23
2018-06-24,25
2018-06-25,19
2018-06-26,16
2018-06-27,5
2018-06-28,15
2018-06-29,20
2018-06-30,17
2018-07-01,21
2018-07-02,25
2018-07-03,5
2018-07-04,17
2018-07-05,10
2018-07-06,23
2018-07-07,12
2018-07-08,26
2018-07-09,10
2018-07-10,15
2018-07-11,3
2018-07-12,17
2018-07-13,28
2018-07-14,26
2018-07-15,19
2018-07-16,27
2018-07-17,8
2018-07-18,16
2018-07-19,5
2018-07-20,19
2018-07-21,22
2018-07-22,11
2018-07-23,9
2018-07-24,23
2018-07-25,5
2018-07-26,13
2018-07-27,15
2018-07-28,21
2018-07-29,12
2018-07-30,24
2018-07-31,7
2018-08-02,5
2018-08-03,28
2018-08-04,26
2018-08-05,14
2018-08-06,12
2018-08-07,13
2018-08-08,9
2018-08-09,8
2018-08-10,27
2018-08-11,10
2018-08-12,14
2018-08-13,7
2018-08-14,22
2018-08-15,6
2018-08-16,9
2018-08-17,15
2018-08-18,4
2018-08-19,10
2018-08-20,18
2018-08-21,21
2018-08-22,17
2018-08-23,9
2018-08-24,23
2018-08-25,17
2018-08-26,17
2018-08-27,23
2018-08-28,16
2018-08-29,17
2018-08-30,7
2018-08-31,21
2018-09-01,33
2018-09-02,16
2018-09-03,18
2018-09-04,11
2018-09-05,8
2018-09-06,9
2018-09-07,12
2018-09-08,19
2018-09-09,32
2018-09-10,24
2018-09-11,13
2018-09-12,19
2018-09-13,14
2018-09-14,9
2018-09-15,12
2018-09-16,33
2018-09-17,12
2018-09-18,17
2018-09-19,11
2018-09-20,10
2018-09-21,23
2018-09-22,24
2018-09-23,11
2018-09-24,22
2018-09-25,15
2018-09-26,20
2018-09-27,5
2018-09-28,8
2018-09-29,12
2018-09-30,18
2018-10-01,15
2018-10-02,5
2018-10-03,27
2018-10-04,12
2018-10-05,10
2018-10-06,30
2018-10-07,10
2018-10-08,4
2018-10-09,11
2018-10-10,11
2018-10-11,13
2018-10-12,15
2018-10-13,14
2018-10-14,4
2018-10-15,7
2018-10-16,16
2018-10-17,7
2018-10-18,10
2018-10-19,15
2018-10-20,2
2018-10-21,13
2018-10-22,14
2018-10-23,5
2018-10-24,18
2018-10-25,6
2018-10-26,6
2018-10-27,10
2018-10-28,13
2018-10-29,15
2018-10-30,12
2018-10-31,23
2018-11-01,33
2018-11-02,48
2018-11-03,35
2018-11-04,53
2018-11-05,49
2018-11-06,42
2018-11-07,25
2018-11-08,29
2018-11-09,41
2018-11-10,55
2018-11-11,43
2018-11-12,44
2018-11-13,55
2018-11-14,36
2018-11-15,42
2018-11-16,49
2018-11-17,53
2018-11-18,42
2018-11-19,59
2018-11-20,48
